TITLE = Flow
VARIABLES = X, Y, u, Exact 
Zone T = psi I = 101 J = 101
0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	1.0000000000000000e-02	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.0000000000000000e-02	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.9999999999999999e-02	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.0000000000000001e-02	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	5.0000000000000003e-02	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	5.9999999999999998e-02	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	7.0000000000000007e-02	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	8.0000000000000002e-02	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	8.9999999999999997e-02	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	1.0000000000000001e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	1.1000000000000000e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	1.2000000000000000e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	1.3000000000000000e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	1.4000000000000001e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	1.4999999999999999e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	1.6000000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	1.7000000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	1.7999999999999999e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	1.9000000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.0000000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.0999999999999999e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.2000000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.3000000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.3999999999999999e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.5000000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	2.6000000000000001e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	2.7000000000000002e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	2.8000000000000003e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	2.8999999999999998e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	2.9999999999999999e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	3.1000000000000000e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	3.2000000000000001e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	3.3000000000000002e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	3.4000000000000002e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	3.4999999999999998e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	3.5999999999999999e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	3.7000000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	3.8000000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	3.9000000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.0000000000000002e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.0999999999999998e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.1999999999999998e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.2999999999999999e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.4000000000000000e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.5000000000000001e-01	0.0000000000000000e+00	0.0000000000000000e+00
0.0000000000000000e+00	4.6000000000000002e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	4.6999999999999997e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	4.7999999999999998e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	4.8999999999999999e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	5.0000000000000000e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	5.1000000000000001e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	5.2000000000000002e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	5.3000000000000003e-01	0.0000000000000000e+00	-0.0000000000000000e+00
0.0000000000000000e+00	5.4000000000000004e-01	0.0000000000000000e+00	-0.0000000000000000e+00
